,date,gdp_change,consump_change,invest_change,govt_change,exports_change,imports_change,vix_change,sp500_change,umc_senti_change,inflation_change,nominal_int_change,real_int_change
15,12/1/1962,0.32940187184664627,1.4149439812481956,-2.9258250625835314,0.6930737297496936,-3.2347021795914865,1.2220954863939815,7.120616695269133,3.089572886045322,3.7117903930131035,-15.697454712974125,2.690835001932057,4.798807723156773
16,3/1/1963,1.0920904258454156,0.7004861078220737,5.261524516999816,-1.354500250763746,1.5187453534888595,-2.3144354036176207,-29.099761515861555,9.952412662894794,3.5789473684210593,31.605300122958123,1.4846235418875864,-1.3074633938586544
17,6/1/1963,1.122414332466426,0.9436467178239871,1.5906740358381244,0.07462328200664725,7.9936183568140695,2.354289480977667,-11.791202967673541,6.285278413424877,-6.808943089430897,-41.65417479708747,-0.11460545387130816,5.01668187439861
18,9/1/1963,2.1988309915998316,1.3565767520349548,3.0787905031278484,4.43864050782159,-0.5005126217981326,2.538713737888232,7.939488001068051,1.8612028132625191,5.125408942202836,229.247193694188,12.374717375898502,-2.540037174712917
19,12/1/1963,0.6559047456915268,0.8332999010403963,1.2142175625822427,-1.0335645945052874,3.908221300901382,-0.32759272872610046,39.32853531644491,3.2502568105886365,-2.0746887966805017,-55.65412618142922,3.702702702702698,17.450727461021764
20,3/1/1964,2.108713584963695,1.962628210122852,3.742673274977104,0.31377924178612737,5.057390489576008,-0.09380325661992872,-43.812488209771736,5.832138036638179,5.402542372881358,51.68952076972681,0.28957808473053515,-4.224227045459694
21,6/1/1964,1.0890683785215627,1.7688870498266285,-0.3602756225554171,0.8997526561729918,-0.40803585364223016,2.2505250030461,22.681175878106828,3.550505695277817,-1.005025125628145,-60.69835621898494,0.7709410100193548,9.327074534141744
22,9/1/1964,1.5626016602433346,1.8472194652014329,2.3341342303379697,0.11954764104546989,3.1306437409513777,2.6839474846316103,-4.826220641027712,3.208841843088428,2.131979695431463,39.77404777275198,-0.954154727793699,-2.9945655815040717
23,12/1/1964,0.30919108659188677,0.28541646568296386,0.950007721943269,-0.04094089893997843,2.0131265693631217,2.7045845506922017,1.412357707075329,2.2603457907952373,-0.6958250497017815,104.25277202668721,3.471519078890273,-3.8030182562529213
24,3/1/1965,2.4199081202691763,2.2301031269698957,9.534303895341377,-0.1143613732094595,-11.638943075013298,-3.599771358687698,-5.795917005804241,2.1435988200589895,2.102102102102088,-32.82919297789785,11.183493164089796,17.881739727816637
25,6/1/1965,1.263470828688229,1.1028721265824437,0.26272875520929606,1.183742674895738,16.73958592564646,11.801045243315533,29.798516315221036,0.9972656922350165,3.3333333333333437,106.1860508311462,2.5976312017501835,-6.467233897655866
26,9/1/1965,2.2231604683935924,1.7182494626568845,3.481822836661541,3.3174952906956268,-2.221855465929501,0.41010397523342235,-17.805528464156374,-0.5756605284227501,-1.8975332068311146,-53.64628453477101,-0.08088235294118062,10.245294755623702
27,12/1/1965,2.303901712949852,2.8112948724052567,0.6621649154466391,1.893880280905158,6.111626860213248,4.87903745877325,-5.337050682067113,5.556405569289979,-0.4835589941972973,78.14314332866532,2.207667966737792,-3.9653522868901225
28,3/1/1966,2.433835311415322,1.4762522548075419,7.989670227992307,1.8618927020315201,-2.4642426331207945,2.5772561971855623,18.918516181059573,-0.13808255963869698,-2.818270165208947,77.049914930403,9.439124487004102,-0.7690600153364757
29,6/1/1966,0.3414704659112866,0.2562302599844024,-1.480346005358435,1.888674464264728,3.005572166349557,2.4868123587038493,19.61199112532892,-3.801484230055663,-4.299999999999993,-3.1631026076662128,7.747807017543851,10.592518840618759
30,9/1/1966,0.8468325707038149,1.1419280918151253,-0.7378757535454139,2.724993280242871,-1.1953847067283307,5.608845811051677,28.928232495655504,-7.6161671395525765,-4.702194357366773,-4.31416508391157,10.109295178393364,13.409412316773661
31,12/1/1966,0.8204034288907813,0.41660250095105766,0.5860982625822908,1.7266357762421691,2.486462666337297,1.1261201862977188,-11.063632496403264,-1.9851829656909459,-3.1798245614035103,-5.60308698129931,2.833641404805909,4.491537011090485
32,3/1/1967,0.8857933144789998,0.5762160076497214,-2.4540743588783775,4.226143268368765,1.2280530310433413,1.5610982453944322,-25.26038587628311,9.095840845336877,6.56851642129106,-68.97080347487507,-13.301457767871593,-3.1723026347762917
33,6/1/1967,0.06135146938617275,1.3671695496333403,-3.617889227431359,-0.4147025857819231,-1.3296434547560798,-0.7944863571234251,19.43437742687031,5.263520551421896,1.9128586609989506,139.2014806831311,-17.276553397051796,-26.221146142886408
34,9/1/1967,0.9460760263042101,0.5120242765927152,2.932166064394015,1.1110456475035946,-0.8022750694652747,1.313350934410118,-28.53005809928054,3.029347588915554,1.147028154327412,65.64507638686115,-2.4235588972431166,-14.965722343307386
35,12/1/1967,0.7538533217112953,0.611920995939097,2.1572236491202323,0.7591899650921441,1.8857999526577407,5.273699969852896,19.760252047039796,0.10938544019434282,-4.226804123711336,8.926375234538785,7.19184239591093,6.493785956918652
36,3/1/1968,2.0392710386833324,2.3965273311023383,2.0048046477050496,1.7870312351883078,2.809257060250925,5.89191760343255,15.797840537403719,-3.0815527818912725,4.628632938643706,-10.092415459845617,14.777274578870436,23.754967377220293
37,6/1/1968,1.6703730044944853,1.5227374184206388,3.8250269082958477,0.5169623512473853,1.672891622987338,1.5249785714613218,-2.9527893867236754,6.970239024214564,-4.938271604938271,-0.9745614035112093,24.912317327766175,31.618895787735756
